product_sequence,product_name,product_category,product_price,product_location,product_total_sold
1,"Terry & Co Original Top /. Atasan Wanita Ke kinian / Blouse Wanita - Putih, S-M",Fashion Wanita,Rp220.000,Jakarta Barat,2
2,blouse wanita,Fashion Wanita,Rp49.500,Kab. Bekasi,3
3,Double Lucky / Naomi Knit Top / Atasan Rajut / Baju Atasan Wanita - Broken White,Fashion Wanita,Rp98.000,Tangerang,5
4,This Is April Atasan Wanita Alysa Top Green,Fashion Wanita,Rp239.000,Jakarta Utara,4
5,"ELYCLOTH | VINA TURTLE NECK TOP | LONGSLEEVE WANITA PREMIUM IMPORT - GREY, All Size",Fashion Wanita,Rp86.000,Jakarta Utara,5
6,CAROLINE BAJU ATASAN KEMEJA WANITA LENGAN PANJANG KEMEJA KERJA CEWEK,Fashion Wanita,Rp28.000,Jakarta Barat,1100
7,FortKlass KORINA Baju atasan blouse wanita lengan panjang,Fashion Wanita,Rp35.000,Jakarta Barat,182
8,FortKlass BLOUSE NIKI TUNICIA BLOUSE WANITA MOSCREPE PREMIUM,Fashion Wanita,Rp35.000,Jakarta Barat,375
9,Baju Tunik Wanita WKBHETA Atasan remaja muslim model Murah terbaru,Fashion Wanita,Rp45.080,Depok,169
10,Atasan Wanita Muslim | Adila Blouse Hijau | S M L XL | Tazkia Hijab,Fashion Wanita,Rp58.000,Bandung,442
11,Cammomile Blouse atasan Wanita 1807011SP polkadot brosC lengan panjang,Fashion Wanita,Rp109.000,Jakarta Utara,165
12,Baju Tunik Wanita Terbaru Zelda - Emikoawa Atasan Baju Kerja Korea,Fashion Wanita,Rp82.650,Jakarta Utara,416
13,PROMO Baju Atasan Kemeja Blouse Valery Wanita Lengan Panjang Murah,Fashion Wanita,Rp34.900,Tangerang,245
14,BLOUSE PAKAIAN WANITA STRIPE CASUAL TOP BLUE | X89,Fashion Wanita,Rp105.000,Jakarta Barat,139
15,Atasan rajut wanita turtleneck || kerah tinggi lengan pendek,Fashion Wanita,Rp31.500,Jakarta Barat,198
16,Blouse crinkle airflow atasan wanita by studioklamby 001 - 1,Fashion Wanita,Rp85.000,Jakarta Barat,0
17,This Is April atasan wanita Della Plaid Top â€“ Brick flower,Fashion Wanita,Rp239.000,Jakarta Utara,0
18,"Blaire Top (atasan lengan pendek wanita) - RHEA Collection - C. Rose, L",Fashion Wanita,Rp119.000,Jakarta Utara,23
19,H&M Atasan wanita Blouse import Kualitas Butik Branded Shopakholic 107,Fashion Wanita,Rp68.000,Depok,0
20,Foxquinn - Jooyeon Top - Blouse Wanita - Caramel,Fashion Wanita,Rp149.000,Jakarta Utara,224
21,Myredo - Atasan Rajut Wanita Turtleneck Lengan Pendek Nadira,Fashion Wanita,Rp34.499,Jakarta Utara,847
22,Baju Atasan Wanita Jeni Top Blouse Korean Style Lengan Panjang Polos,Fashion Wanita,Rp39.900,Jakarta Barat,102
23,Atasan Wanita Sweater Wanita Murah Blouse Clarisa Top Knit Rib,Fashion Wanita,Rp17.900,Jakarta Barat,247
24,Atasan new stripe jumbo [Baju Atasan Wanita 0140] UDP,Fashion Wanita,Rp57.000,Jakarta Pusat,161
25,Kaos Wanita Lengan Panjang Fashion Top Original Abu Abu Muda Bunga,Fashion Wanita,Rp78.000,Jakarta Timur,144
26,KAOS ATASAN POLOS WANITA V NECK GROSIR MURAH rayon spandex premium,Fashion Wanita,Rp25.300,Jakarta Barat,390
27,Atasan Mind Putih shop at velvet,Fashion Wanita,Rp129.000,Kab. Tangerang,106
28,BJD - Atasan Wanita Model Turtleneck Lengan Pendek Nadira,Fashion Wanita,Rp29.999,Jakarta Utara,742
29,OVERSIZE ORANGE BAJU OVERSIZED WANITA ATASAN CEWEK KAOS WANITA,Fashion Wanita,Rp22.000,Jakarta Timur,376
30,Hem Square [Baju Atasan Wanita 0133] RIL,Fashion Wanita,Rp59.000,Jakarta Pusat,407
31,Atasan Rajut Wanita Et Cetera | BACA DESKRIPSI,Fashion Wanita,Rp40.000,Tangerang,0
32,"baju atasan wanita I DONT CARE bahan cotton combed 30s - M, Hitam",Fashion Wanita,Rp29.900,Jakarta Barat,110
33,"AMY TOP - RED TEXTURE - COTTON TREE - TOP MOTIF WANITA,BAJU ATASAN",Fashion Wanita,Rp219.000,Tangerang Selatan,18
34,Lovadova - Gina Tied Top - Atasan Wanita Putih,Fashion Wanita,Rp254.915,Jakarta Barat,0
35,INSTYLEBYSURI-RIRIS BLOUSE-TM20A-ATASAN WANITA - Hijau,Fashion Wanita,Rp95.000,Jakarta Barat,0
36,Cammomile kemeja wanita kombinasi 1904072,Fashion Wanita,Rp99.900,Jakarta Utara,117
37,"SMP ANANDA TUNIC, Baju pakaian atasan tunic jumbo fashion hijab wanita",Fashion Wanita,Rp66.000,Tangerang Selatan,228
38,Atasan Wanita Knit kombinasi Sifon Import 8663,Fashion Wanita,Rp77.000,Jakarta Barat,87
39,PROMO Baju Atasan Balena / Lune Blouse Lengan Panjang Wanita Murah,Fashion Wanita,Rp32.500,Tangerang,135
40,Berrybenka - Atasan Blouse Sophie Muila Plaid Tops,Fashion Wanita,Rp114.000,Tangerang Selatan,100
41,Atasan Muslim Wanita | Lune Blouse Hitam | S M L XL | Tazkia Hijab,Fashion Wanita,Rp49.000,Bandung,511
42,Pakaian Atasan Wanita Murah Kaos Jumbo Oversize Dandoad,Fashion Wanita,Rp19.900,Jakarta Barat,373
43,HAIRA TUNIC / TUNIK WANITA / ATASAN WANITA,Fashion Wanita,Rp206.000,Tangerang,69
44,Yumma Blouse Wanita Korea | Baju Atasan Muslim Lengan Panjang Terbaru,Fashion Wanita,Rp35.500,Jakarta Barat,80
45,Atasan Muslim Wanita | Noya Tunik Abu | S M L XL | Original,Fashion Wanita,Rp58.000,Bandung,602
46,Atasan Wanita Muslim | Kalina Tunik | Tuyobo Premium,Fashion Wanita,Rp75.000,Cimahi,143
47,Jumbo Kuernavy [Baju Atasan Wanita 0117] RHW Tunik,Fashion Wanita,Rp74.000,Jakarta Pusat,650
48,BAJU KEMEJA POLOS | KEMEJA PUTIH | KEMEJA HITAM | ATASAN WANITA COD,Fashion Wanita,Rp35.000,Jakarta Barat,184
49,Baju atasan kemeja wanita Jumbo kantor big size XXXL,Fashion Wanita,Rp54.900,Jakarta Barat,588
50,Atasan PT-01 Hitam shop at velvet,Fashion Wanita,Rp169.000,Kab. Tangerang,237
51,Atasan Space Nude shop at velvet,Fashion Wanita,Rp129.000,Kab. Tangerang,33
52,Atasan wanita lengan panjang / Atasan jumbo wanita / kaos wanita jumbo,Fashion Wanita,Rp38.200,Jakarta Barat,565
53,LEMONE Suparon Spandek Atasan Lengan Pendek Polos Kaos Wanita Part 2,Fashion Wanita,Rp30.000,Jakarta Barat,212
54,CLOUWNY - Atasan Wanita Colourfull Oversized Tee Premium Cotton,Fashion Wanita,Rp99.000,Jakarta Barat,48
55,Kaos Batwing Oversize Lengan Panjang Polos Wanita Atasan Phenomenal,Fashion Wanita,Rp67.000,Depok,105
56,Chamele - Kemeja Kantor Polos Basic Wanita Lengan Panjang 2991,Fashion Wanita,Rp73.000,Jakarta Barat,3000
57,IOS FITRI KEMEJA SIFON IMPOR KOTAK KOTAK WANITA CASUAL ATASAN KOREA,Fashion Wanita,Rp75.000,Bekasi,54
58,damai fashion - baju atasan kaos wanita tumblr Hi!,Fashion Wanita,Rp10.500,Jakarta Utara,524
59,MASSHIRO&Co. - CHINATSURU,Fashion Wanita,Rp635.000,Jakarta Selatan,90
60,Basix - Danita Stripe Black Blouse - Atasan Salur Hitam Lengan Pendek,Fashion Wanita,Rp76.000,Jakarta Utara,24
61,Kemeja Merah LEHER V Oversized Model Longgar Import Baju Atasan Kerja,Fashion Wanita,Rp115.430,Tangerang,102
62,Colorbox Yellow Embroidered Tassel Blouse I:Blwkey120D080 Yellow,Fashion Wanita,Rp53.970,Bekasi,151
63,Kira Blouse | Fashion Atasan Wanita Muslim Terbaru |Terminal Grosir,Fashion Wanita,Rp50.000,Cimahi,312
64,Blouse Wanita EDITION EB122WHITE Puff Sleeve Top,Fashion Wanita,Rp86.900,Tangerang,45
65,Wulfi Atasan Tunik Bisa Untuk Bumil Eli Chestnut,Fashion Wanita,Rp339.000,Kab. Tangerang,179
66,Berrybenka - Atasan Kemeja Sophie Heina Basic Shirt,Fashion Wanita,Rp229.000,Tangerang Selatan,90
67,Kaos Atasan Lengan Panjang Wanita Cewek Cewe Zolaqu Light Terbaru,Fashion Wanita,Rp29.575,Jakarta Barat,194
68,Kemeja Wanita Polos Basic - Emikoawa Atasan Wanita Muslim Korea Busui,Fashion Wanita,Rp84.900,Jakarta Utara,327
69,Kemeja Shanghai White [Baju Atasan Wanita 0140] SLQ,Fashion Wanita,Rp54.000,Jakarta Pusat,91
70,Tweety Crop Tee / Atasan Wanita - Hana Fashion,Fashion Wanita,Rp49.000,Jakarta Barat,228
71,Atasan Muslim Wanita | Lune Blouse Ungu | S M L XL | Tazkia Hijab,Fashion Wanita,Rp49.000,Bandung,440
72,Kaos Polos V-NECK Pendek / Basic / Atasan Wanita MONDAZE - SPANDEX - L,Fashion Wanita,Rp11.900,Jakarta Utara,843
73,Atasan Muslim Wanita | Aurora Tunik Hijau| M L XL | Tazkia Hijab,Fashion Wanita,Rp68.500,Bandung,266
74,Berrybenka - Sophie Murava Layer Blouse,Fashion Wanita,Rp124.000,Tangerang Selatan,79
75,Kelly Blouse | Fashion Atasan Wanita Muslim | Terminal Grosir Termurah,Fashion Wanita,Rp60.000,Cimahi,144
76,"Atasan Tanpa Lengan Wanita Wardrobe&Storie | Kaia Tops - Milo, S/M",Fashion Wanita,Rp135.000,Kab. Bandung Barat,10
77,atasan wanita/blouse wanita/baju wanita - Hitam,Fashion Wanita,Rp75.000,Jakarta Barat,6
78,Blouse Wanita Jumbo LD 120 Fit 3XL Baju wanita big size atasan Milea - Biru L,Fashion Wanita,Rp95.000,Jakarta Pusat,51
79,"Atasan Wanita Baju Kantor Baju Santai - dusty, S",Fashion Wanita,Rp69.900,Bandung,216
80,ILLONA baju atasan wanita kancing bahan knit top lengan panjang - dustypink 1,Fashion Wanita,Rp96.000,Jakarta Utara,5
